I will never read another issue of Time. What a joke.	0
117,000 ‘unauthorized’ immigrants live in San Diego https://t.co/vBHWIqWZHI	1
Lol can't sleep bc I had a dream trump made women, African Americans, and Hispanics have no beds and if you didn't wear the rebel glad you	0
@elenacresci I swear most of the most incredible war correspondents are/were women. also some of the most incredible humans	0
"She's here! Mimi Copeland, born January 19th, 7lbs 13.

All the way through our IVF journey I… https://t.co/04hEGuytaf"	0
@amy_kennedy17 @realDonaldTrump @POTUS Include this in your personal essay, should get full marks!	0
My prayers are w/ the @NYPD43Pct officers injured today while protecting our community in the #Bronx. https://t.co/eRSUl9seC6	0
Clara Day : a Teamster's life : a biography (Book, 2008) [https://t.co/b2PKBVcGHX] https://t.co/tkElRxAdZX	0
how not to do #historicpreservation #fail #antiquity China covers portions of Great Wall with cement @CNN https://t.co/OlHrJmQh3l	0
@David_Leavitt I volunteer as tribute! I'm sick over this! ! Now where am I going to move to? ? Passport. .check!	1
Priorities... https://t.co/d0qGnrgoD2	0
@InayatKhan1 @OfficialDGISPR we can't attack anyone on Afghan soil	0
@BootsHelp Do you offer 1 hour prescription service?	0
@realDonaldTrump @POTUS Of course you haven't. You turned off the damned phones. #FakePresident #resist https://t.co/MOrgm8cfMa	0
@HillaryClinton  This is nothing but another failed reality TV show written,  produced and Plagiarized by @realDonaldTrump	0
.@UN_PGA @POTUS pls ensure governments prioritize education, work &amp; resettlement opportunities for refugees everywhere. Stand #WithRefugees	1
Protestors gather in #NewYork's Battery Park to condemn President #Trump's executive orders to… https://t.co/KHZ5mTLClz	0
#POTUStownhall was disappointing overall; too much focus on black on black crime, too little focus on changes needed in policing	0
Heart warming show of solidarity with our Muslim brothers and sisters in Boston yesterday. https://t.co/WvaHEtTvgX	1
Immigration Agents Don’t Follow The Law When It Comes To Asylum Seekers https://t.co/unpO7DCxwm via @thinkprogress	1
@VidyuRaman Did peace talks help ?	0
The Nevada GOP delegation just referred to Las Vegas as their capital city. They don't even know their own capital?!?! #GOPinCLE	0
Starting #necs2016 with a  bang. Images of (economic) crisis or images in crisis? Join us in S14!	0
Show ❤️to our New President @jaclynmucaria &amp; our new CNO @alanmlevin.Wishing them both nothing but the best in this new chapter @NYPQueens	0
A big thank you to tonight's panel @SusanCarland ,@LeadbetterBill, Rabbi Ninio, @RobinaCourtin and Fr Mowe SJ! https://t.co/00u810pPk9	0
@haveigotnews-The audience booed Pence-cast spoke with dignity!	0
The great Trojan horse full of women and children injured, and starving, and defeated by war. #debates	1
@AmbassadorPower where is ur courage to demand independent investigation the massacre committed by the ethiopian dectator regime!! Outspoken	0
"""they kilt us but they ain't whupped us yit"" @timkaine quoting Wm. Faulkner"	0
@GOT7Official @YouTube it would be nice to exceed to 70 million plus like their other videos just quicker getting there. I Love Got7.💙	0
Uganda today https://t.co/lyFyftjr8D	0
We are such an incredibly giving region #NECharityAwards proud to be here celebrating our young champions #northeast @CountyDurhamCF	0
"I have decided that my signs for the March will say ""I am PRO – democracy"". Too controversial? @atcnj #Indivisible #WomensMarch"	0
and our MP #NadhimZahawi showed excellent judgement + consideration for his constituents by backing him #NOT https://t.co/2wZnarkVU8	0
