@NolteNC @LindaSuhler @HeatherChilders @pdoocy yeah tell us again mr. mayor how it's not terrorist. 😑	0
Six Sigma In Plain English https://t.co/LGxbtrMxV5	0
@realDonaldTrump @TarukMatuk @CNN @FoxNews @RogerRice10 refugees today. Jihadis tomorrow. Stop killing by Moslems	1
"@brianstelter CNN hdline: ""[DT] defends racial profiling in wake of bombings"" How does DT defend what he didn't say? Can we now agree bias?"	0
@Rotoworld_FB ROS which two would you keep in PPR league?: R. Jennings, Matt Jones, J. Ajayi	0
Thank you all for the following	0
@twitter  Donald Trump NOT AGAINST IMMIGRATION...4 gosh sake his wife is an immigrant..he just wants safe process 4 welcoming new immigrants	1
@TomiLahren you don't care people call you a racist because you really are a racist! Why is it a speech can move thousands and thousands of	0
#Refugeeprotesters.Wait till they blow ur ass up, then if u live,  u will have reason to protest. Get a life! @FoxNews @realDonaldTrump	1
You complain about the speed of growth of this country but also want to build a literal wall to stop people from en… https://t.co/9ia7DqqgDx	1
"Is Angele Merkel and her refugee policy to blame for this?
#Ansbach #Munich #Reutlingen #Wurzburg"	1
@KristineLeahy Mr @ColinCowherd is right. You can't compare OKC fans to the best fans. Think abt @nyknicks  fans. How loyal are they??	0
@Grummz @Rockprincess818 your not innocent if you are illegal you have broken the law	1
@realDonaldTrump  Mr. President. What u said in 1987 on CNN turned into your policies 2day. I bet you never thought u would b President	0
@vanesser @trumpbigregrets @realDonaldTrump what are you talking about??? Just plain stupid...	0
"@ScottAdamsSays 
A vote against HRC Is also a vote against ABC, CBS, NBC, CNN, MSNBC, PBS, PBR, NYT, &amp; WAPO. We call that ""Leverage""."	0
Aloe Vera can help to heal scalp damages and #balancing the pH levels and thereby reducing the amount of acids on the scalp caused by sweat.	0
@CNNPolitics @VanJones68 w/ corruption uncovered, dems for violence at rallies, dead voters, illegal voters DJT correct in statement, Period	0
@JoelDFoster1 NO But useing stolen ID &amp; SS# is fraud &amp; a F3 felony u forfit all rights N this country &amp; law says F3 Illegals must B Deported	0
"CNN ""appalled"" by trump pushing off press as they continue to rip him apart and insult him ?  Do you people add ANY value to the world ?"	0
"@Uber_Support I am surprised with u letting off your driver..
No wonders Uber drivers are on a freaking out mode.. Rapes, molestation..."	0
@dawnellemurray @guardian Screw you for that is a lie.....no way will Pres Trump accept refugees in Australia that Australia won't take	1
